,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C02-NUSVR--nu=0.05-C=0.1,C03-NUSVR--nu=0.25-C=10,C04-NUSVR--nu=0.05-C=0.1,C05-NUSVR--nu=0.75-C=0.1,C06-NUSVR--nu=0.5-C=10,C07-NUSVR--nu=0.05-C=0.1,C08-NUSVR--nu=0.05-C=0.1,C09-NUSVR--nu=0.75-C=0.5,C10-NUSVR--nu=0.25-C=10,T01-NUSVR--nu=0.25-C=10,T02-NUSVR--nu=0.05-C=10,T03-NUSVR--nu=0.25-C=0.1,T04-NUSVR--nu=0.75-C=0.1,T05-NUSVR--nu=0.15-C=0.1,T06-NUSVR--nu=0.75-C=1,T07-NUSVR--nu=0.05-C=0.1,T08-NUSVR--nu=0.75-C=0.1,T09-NUSVR--nu=0.75-C=0.1,T10-NUSVR--nu=0.5-C=0.75
adventitial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.014421363669213984,0.0,0.0015234414168157726,0.007776708685289142,0.015767946517390653,0.09656268854540206,0.0,0.036163296847258185,0.002862543539446931,0.09722139376334923,0.0,0.0,0.023855833957925506,0.0,0.00923044664019092,0.0,0.019480500231487754
cardiac muscle cell,0.0,0.0,0.0,0.0,0.002017661946312583,0.0,0.09667542370064344,0.01656469127765104,0.005581958143765544,0.0,0.003428556681110581,0.0,0.008109748732737523,0.0,0.02953028096603725,0.0,0.0018012667513149026,0.0,0.0,0.0,0.04086418021061479,0.0,0.0
cell of skeletal muscle,0.06765011914203357,0.06765011914203357,0.06765011914203357,0.06765011914203357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154241733190816,0.04761135509224491,0.13626315317607757,0.00020431408889920756,0.0,0.0,0.05671193281096974,0.0,0.047587573829245604,0.0,0.013097223038280877
fibroblast/mesenchymal stem cell,0.0032343213807271864,0.0032343213807271864,0.0032343213807271864,0.0032343213807271864,0.0,0.11698294810766567,0.0,0.06522389593355467,0.0,0.0,0.004061707550607733,0.0,0.06554044105903858,0.0,0.0,0.0,0.028182822548966396,0.0,0.0,0.0,0.0,0.042520096852400824,0.0
melanocyte,0.0,0.0,0.0,0.0,0.019473312540755364,0.007503191181360043,0.0,0.015499489704041634,0.0,0.0,0.02146246465180554,0.0512357112624507,0.01463482523464242,0.0,0.027581277941247793,0.019307015249926802,0.03234737788161418,0.019109124288391573,0.0,0.0,0.0,0.09907571833147312,0.0
mesothelial cell,0.011826134996991007,0.011826134996991007,0.011826134996991007,0.011826134996991007,0.0,0.006592725128223222,0.0,0.003425561267696434,0.0076752236097374655,0.025902570319241685,0.00148554361228262,0.0,0.0,0.05591607598174401,0.0,0.10185894475551924,0.010497139412547716,0.0,0.027126602036193305,0.0,0.010095928081903254,0.06345840228081606,0.011416734553226789
pancreatic stellate cell,0.03219330869370186,0.03219330869370186,0.03219330869370186,0.03219330869370186,0.0,0.0,0.0,0.01580912850682701,0.02796078868877526,0.010861222362367617,0.0,0.0024333639822073576,0.0,0.030502654105173287,0.0,0.0,0.029897174029816186,0.0,0.0,0.004205336402648763,0.0,0.0,0.046091315098056196
pericyte cell,0.0,0.0,0.0,0.0,0.0,0.011326613664782824,0.0,0.020067150675364586,0.0,0.1257526745351688,0.0,0.0,0.007778574073160885,0.0,0.007788902934735797,0.0,0.0,0.0,0.0,0.0,0.0,0.03656152365660889,0.0
schwann cell,0.005887664145228235,0.005887664145228235,0.005887664145228235,0.005887664145228235,0.027614799904930223,0.03167419341017275,0.0,0.012442965432130776,0.0,8.326617562931758e-06,0.05959408446734501,0.0,0.00778103587023063,0.00022563005082124318,0.0,0.0,0.0,0.0,0.0,0.03589856984623331,0.0,0.0,0.0
smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.01597469668164887,0.03923470801657007,0.0,0.0,0.06093677558324495,0.0,0.03464145143806715,0.0,0.0,0.00859576202606199,0.05884570358439921,0.0,0.0,0.0,0.0,0.0,0.09108424726060817,0.012082729068480414
stromal cell,0.0,0.0,0.0,0.0,0.003008099487784919,0.06177421954323069,0.009015862155147584,0.0,0.04418141505820817,0.007728540546147767,0.0,0.04878226228709778,0.0,0.035726609910377426,0.0,0.04390336331849745,0.05205842705877676,0.0,0.041874616006086725,0.00533847082583775,0.04128405259296811,0.002637791279071758,0.0
tendon cell,0.0,0.0,0.0,0.0,0.011539261872088546,0.037694308585241657,0.014631157977802497,0.0012392043347584883,0.0,0.0460722058941065,0.0,0.003834855812602108,0.04828149852541981,0.06335360453600726,0.000395793815004939,0.0,0.0,0.005100159190644102,0.03510432106471837,0.027791769663297293,0.0,0.05352710865608166,0.026767046030063076
acinar cell of salivary gland/myoepithelial cell,0.0,0.0,0.0,0.0,0.0027002858677318167,0.0,0.0,0.0,0.008511699631501281,0.0,0.30488973069076486,0.03696878079936316,0.032413329673327315,0.032572357607459475,0.0,0.0,0.03381919567522809,0.02849222197566322,0.0,0.010762475592120607,0.03172561056358661,0.0,0.0
basal cell,0.0,0.0,0.0,0.0,0.007482808021629256,0.0,0.011811341693138487,0.0038604471752954894,0.0,0.00770522756073204,0.2867804849318524,0.0,0.0,0.0006903287345852511,0.008695795594418538,0.007636064842864943,0.0,0.0,0.031203269555895547,0.0,0.0,0.0,0.05558172195065368
basal cell of prostate epithelium,0.006070331281912883,0.006070331281912883,0.006070331281912883,0.006070331281912883,0.0,0.0,0.0,0.08017822795684304,0.001092193880919065,0.0,0.0034107848451031195,0.004356227548886223,0.0,0.032507196404272354,0.017129013205478574,0.007865200299196518,0.0,0.0,0.030901854171478553,0.0,0.0013807297448926816,0.0,0.04176756372083969
